$c_start高清香港台（地面波源）$c_end
翡翠台,https://cdn.hklive.tv/hls/81/index.m3u8
寰宇新聞,http://192.168.50.12:9500/jmsytb.m3u8?c=11
ANN News,http://192.168.50.12:9500/jmsytb.m3u8?c=12
三立 iNEWS,http://192.168.50.12:9500/jmsytb.m3u8?c=13
鏡新聞,http://192.168.50.12:9500/jmsytb.m3u8?c=14
東森新聞全球速報,http://192.168.50.12:9500/jmsytb.m3u8?c=15
MBC News,http://192.168.50.12:9500/jmsytb.m3u8?c=16
KBS Kr,http://192.168.50.12:9500/jmsytb.m3u8?c=17
GTV-Drama2,http://192.168.50.12:9500/jmsytb.m3u8?c=18
梯子台,http://192.168.50.12:9500/jmsytb.m3u8?c=19
美食星球,http://192.168.50.12:9500/jmsytb.m3u8?c=20
龍華桌逰,http://192.168.50.12:9500/jmsytb.m3u8?c=21
亞洲旅遊台,http://192.168.50.12:9500/jmsytb.m3u8?c=22	
靖天電視台,http://192.168.50.12:9500/jmsytb.m3u8?c=23	
華視新聞,http://192.168.50.12:9500/jmsytb.m3u8?c=25	
NBC News,http://192.168.50.12:9500/jmsytb.m3u8?c=26
GTV-Drama1,http://192.168.50.12:9500/jmsytb.m3u8?c=30
華視綜藝,http://192.168.50.12:9500/jmsytb.m3u8?c=29

$c_startAV(2)源_1111$c_end
看到爽,https://www.ast.tv/stream/1/ultra.m3u8
彩虹E台,mitv://ns2.hellotvvod.com:9906/94c57d70e6a542e58226e0ab34f32082
彩虹电影台,mitv://ns2.hellotvvod.com:9906/652eaae198354a7eaee4de4e83241c22
LOOK TV,mitv://ns2.hellotvvod.com:9906/2a8c2699d7294d3ab670a9287bc20bc6
潘朵拉完美台,mitv://ns2.hellotvvod.com:9906/93a3328f3bfe4a82963d8c3584ede02a
驚艷台,mitv://ns2.hellotvvod.com:9906/ad86969137014a8c81684ed690c41b08
松視1台,mitv://ns2.hellotvvod.com:9906/6a1d4bb966874f598cc453df234ae44f
松視2台,mitv://ns2.hellotvvod.com:9906/cc116ed3044f4941aea23c942fef7406
潘朵拉粉红台,mitv://ns2.hellotvvod.com:9906/5308670d6df54b1ebd9d0642f389e269
