高清香港台（地面波源）,#genre#
HBO家庭影院,http://pull-l3-cny.douyincdn.com/live/1279e1fd458348b32fd60381b1017c09.m3u8
HBO原创电影,http://pull-l3-cny.douyincdn.com/live/9bfb4b08fec367ed3850357a853250d5.m3u8
HBO强档影院,http://pull-l3-cny.douyincdn.com/live/162f0111fdd134e929d72640e6c4ea56.m3u8
探索频道HD,http://pull-l3-cny.douyincdn.com/live/34633761735b6c677356a7c551f89888.m3u8
KBS1 HD,http://pull-l3-cny.douyincdn.com/live/da1f0d9f19a7ad52a9675a58e08de24b.m3u8
KBS2 HD,http://pull-l3-cny.douyincdn.com/live/9accc1d4ae7e4bfa7350249c05a0e3af.m3u8
MBC HD,http://pull-l3-cny.douyincdn.com/live/4f444d2b71e8fbab0a8802b9fa23ea5b.m3u8

YouTube直播,#genre#
中天新闻,http://192.168.50.12:9500/jmsytb.m3u8?c=42
民视新闻,http://192.168.50.12:9500/jmsytb.m3u8?c=43
TVBS新闻,http://192.168.50.12:9500/jmsytb.m3u8?c=44
台视新闻,http://192.168.50.12:9500/jmsytb.m3u8?c=45
三立海外,http://192.168.50.12:9500/jmsytb.m3u8?c=46
东森财经,http://192.168.50.12:9500/jmsytb.m3u8?c=47
寰宇新闻,http://192.168.50.12:9500/jmsytb.m3u8?c=48
三立 iNEWS,http://192.168.50.12:9500/jmsytb.m3u8?c=49
镜新闻,http://192.168.50.12:9500/jmsytb.m3u8?c=50
公视,http://192.168.50.12:9500/jmsytb.m3u8?c=51
GTV-Drama2,http://192.168.50.12:9500/jmsytb.m3u8?c=52
华视新闻,http://192.168.50.12:9500/jmsytb.m3u8?c=53
台视,http://192.168.50.12:9500/jmsytb.m3u8?c=54
三立华剧,http://192.168.50.12:9500/jmsytb.m3u8?c=55
GTV八大电视,http://192.168.50.12:9500/jmsytb.m3u8?c=56
GTV-Drama1,http://192.168.50.12:9500/jmsytb.m3u8?c=57
华视综艺,http://192.168.50.12:9500/jmsytb.m3u8?c=58
亲亲2o音乐LîvË【中文音乐】,http://192.168.50.12:9500/jmsytb.m3u8?c=59




































